Name,Minimum Age,Maximum Age,Gender,Address,Region,Description,Application Requirements/Restrictions (if any),Website,Phone,Email,Valid As Of,Latitude,Longitude,Mental Health Services,Medical Health Services,Public Housing,Intimate Partner Violence,Developmental/Intellectual Disabilities Services,Child Welfare,Cash and Food Benefits,Shelter Assistance,Family Support Services,Adjudicated Adolescents,LGBTQ Resources,Mentoring,Case Management,Academic Support,Job Opportunities/Training,Community Service/Outreach,Substance Abuse Treatment Residential,Substance Abuse Treatment Outpatient,Legal Support
Cape Cod Comprehensive Treatment Centers,18.0,100.0,All,"31 A Workshop Road
South Yarmouth, MA 02664",Barnstable,"Yarmouth Comprehensive Treatment Center is a premier provider of medically supervised, medication assisted treatment for those individuals, aged 18 and older, who are burdened by an addiction to opioids. At Yarmouth Comprehensive Treatment Center, we supply programming options for these individuals that provide the complete care needed to overcome their addiction. Our care includes a mixture of therapeutic methods and the implementation of medications that are proven to be safe and effective in treating opioid addiction.

With a staff of incredibly talented nurses, counselors, and physicians, Yarmouth Comprehensive Treatment Center is pleased to provide patients with a safe and encouraging environment to work in as they make their way towards full recovery. When patients come to us grappling with addictions to substances such as heroin, prescription painkillers, or morphine, our kind and empathetic team of professionals go to all ends to monitor the prescription and administration of the medications we utilize to ensure that each patient obtains the best outcomes possible. The medications that we supply to help treat opioid addiction here at Yarmouth Comprehensive Treatment Center include: Subutex, Suboxone, Methadone.

The specific medication that is supplied will be based on the needs of each patient and his or her health status. The dosage that is recommended, as well as any alterations to that dosage, will be customized so that all of the patient’s needs are being met. Dosage recommendations and changes will be conducted by one of our medical professionals.

Business Hours:
Monday, Tuesday, Thursday, Friday: 6:00am – 4:00pm
Wednesday: 6:00am – 6:00pm
Saturday & Sunday: 6:00am – 9:15am

Medication Hours:
Monday – Friday: 6:00am – 11:30am
Saturday & Sunday: 6:00am – 9:15am","First, to be treated at one of our centers, you must be 18 years of age or older, and you must have been opioid dependent for at least 12 months.

If you meet these eligibility requirements, we will schedule your intake appointment. At the outset of this appointment, you will be required to provide the following:

-Valid photo identification (Driver’s license, state ID card, or passport)
-Payment for intake fee (cash, money order, or a major credit card issued in the name of the payer); we are not able to accept personal checks or payment by phone
-Proof of insurance, if you are planning to use insurance to pay for your treatment
If you are transferring directly from detox or from another medication assisted treatment program, you will need to provide all necessary documentation from your prior program.
Important Note: Unless you are pregnant, you must arrive for your intake appointment in a state of withdrawal, without having used any opiates within the previous 20 to 24 hours. If you are pregnant, you should not be in withdrawal when you arrive for your intake appointment

Please plan to be at the center for about four hours for your intake appointment. During that time, the following will occur:

-You will be given educational information and provided with a copy of our Patient Handbook.
-You will meet with a staff member for intake paperwork and assessments and have your picture taken for internal identification purposes.
-You will be asked to sign Releases of Confidential Information forms so that we may coordinate care with your primary care physician and other relevant healthcare providers.
-You will provide an Oral Drug Screen to assess opioid and other drug use.
-You will be seen by a clinician to complete a comprehensive biopsychosocial assessment.
You will be scheduled for blood work and TB testing.
You will be scheduled to meet with a member of our medical staff for a physical exam.
If you are female, you will be given a pregnancy test.
Your first dose of medication generally occurs the same day that you are approved for admission into our program, however, we cannot guarantee that this will occur. All medication decisions are determined on a case-by-case basis following an assessment by our medical director.

For additional information about any aspect of care at Cape Cod Comprehensive Treatment Centers, please feel free to contact us at your convenience. We look forward to speaking with you and providing you with the information you need to determine if we have the solutions that you have been searching for.

The care at Cape Cod Comprehensive Treatment Centers is customized to ensure that each patient receives the medications and therapeutic interventions that are best designed to meet their unique needs.
This dedication to customized care means that the cost of treatment may vary from patient to patient. However, because we understand that cost-related concerns can undermine patients’ efforts to focus their full attention on their recovery, we conduct open conversations with all patients prior to the start of treatment to confirm the cost of their care and to verify how they will pay for the services that they receive.

Though costs and payments will vary, certain standard policies and procedures will apply to all who choose to heal at Cape Cod Comprehensive Treatment Centers.

First, all patients, even those who will be using insurance benefits to pay for their treatment, are expected to pay their intake fees on the day of their intake appointment. These fees may be paid with cash, money orders, or major credit cards. Credit cards must be issued in the name of the person who is paying for treatment. (If someone other than the patient is paying, that person must be present when the credit card is used.)

Additional payment information:

All patients are expected to pay for treatment in advance of receiving services.
This policy applies to customers who are paying for their own care, as well as to most insurance patients as well.
Insurance patients will be provided with an invoice that they can submit to their insurance provider in order to be reimbursed for eligible out-of-pocket expenses.
Insurance patients must provide a valid insurance card during their intake appointment and must have their eligibility and coverage confirmed by one of our staff members.
If you have any questions about treatment costs or any other aspects of receiving care at Cape Cod Comprehensive Treatment Centers, please feel free to contact us at your convenience. Our friendly and supportive staff members look forward to providing you with all of the information necessary to make the best decisions about getting the help you need to overcome your opioid dependence.",https://www.capecodctc.com/location/yarmouth/,(877) 624-1850,,2019-04-03,41.686704,-70.212182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"Independence House, Inc.",5.0,100.0,All,"160 Bassett Lane Hyannis, MA 02601",Barnstable,"Independence House, Inc. provides services to victims and survivors of domestic violence and sexual assault.  Services include: a 24-hour hotline, shelter assistance, individual and group counseling, housing assistance, childcare, court advocacy, and prevention education and outreach. Independence House, Inc. serves Barnstable County and Cape Cod.

Hotline: (800) 439-6507)",,https://independencehouse.org/,(508) 771-6507,,2019-04-03,41.653542,-70.290916,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Housing Application for Massachusetts,0.0,100.0,All,"Cape Cod, MA",,"CHAMP is the website where you can apply for state-aided public housing. Through the online system, this website lets you submit your application to one or more housing authorities, instead of having to mail or hand deliver an application to each housing authority separately. You can also keep your application information up-to-date on this website as it changes. This will help you to make sure that housing authorities know how to contact you. 

If you have an active application at one or more local housing authorities, you can find it on this website and manage it on this website. Do not file a new application. Once you find your existing application on the website, you can make changes such as updating contact information and adding or removing your applications to housing authorities. It is important to only apply to those housing authorities where you are willing to live. ","Vouchers and federally subsidized public housing units are not yet available through this site. However, if you are interested in applying for those programs, please contact a local housing authority or regional administering agency (RAA) directly.",https://publichousingapplication.ocd.state.ma.us/,(617) 573-1100,,2019-05-13,41.693169,-70.305458,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People's Pantry,0,100,All,"287 State St
Springfield, MA 01103",Hampden,The Salvation Army in Springfield maintains an onsite food pantry to help meet emergency needs. ,,http://massachusetts.salvationarmy.org/MA/BridgingtheGaphttps://springfield.salvationarmy.org/springfield-mas/food-pantry,(413) 733-1518,ispatch.springfield@use.salvationarmy.org 	,2019-08-08,42.10458,-72.58219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Common Housing Application for Massachusetts,0,100,All,"Boston, MA",Suffolk,"CHAMP is the website where you can apply for state-aided public housing. Through the online system, this website lets you submit your application to one or more housing authorities, instead of having to mail or hand deliver an application to each housing authority separately. You can also keep your application information up-to-date on this website as it changes. This will help you to make sure that housing authorities know how to contact you. 

If you have an active application at one or more local housing authorities, you can find it on this website and manage it on this website. Do not file a new application. Once you find your existing application on the website, you can make changes such as updating contact information and adding or removing your applications to housing authorities. It is important to only apply to those housing authorities where you are willing to live. ","Vouchers and federally subsidized public housing units are not yet available through this site. However, if you are interested in applying for those programs, please contact a local housing authority or regional administering agency (RAA) directly.",https://publichousingapplication.ocd.state.ma.us/,(617) 573-1100,,2019-05-13,42.36058,-71.06211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justice Resource Institute - Group Homes,5,22,All,"160 Gould Street, Suite 300 Needham, MA 02494",Norfolk,"Little Heroes Group Home - co-ed ages 5-11. an intensive group home located in the suburban community of Dracut, MA. We serve latency age children who come to us with social, emotional, mental health and behavioral challenges, and histories of complex trauma. Uses ARC model. GRIP Program - co-ed intensive group home for transitional age adolescents 16-22. Our mission is to support our youth educationally, vocationally, and socially to make healthy choices and become independent while providing a safe and nurturing environment. Teen Parenting Program - Ages 13-22. The Teen Parenting Program is a DCF and DTA funded residential program for teen moms who are pregnant or parenting. Teens live in their own apartments with 24 hour staff support, education and job training, medical, dental and day care referrals, housing search and aftercare support. Journey Home - males ages 12-22. Journey Home is a therapeutic intensive group home for adolescent males who with support and treatment are ready to live and participate in a community setting. Lindencroft - Females ages 12-18. The Lindencroft intensive group home serves adolescent females ages 12-18 through a comprehensive network of trauma-informed (ARC) services, including community living, behavioral treatment, therapeutic recreation, competency development, and family, group, and individual therapy. Redicovery House - Males ages 16-21. Rediscovery House is a pre-independent living, community based group home with a 1:4 staff to youth ratio which supports youth who are preparing to age out state custody. ",,https://jri.org/services/educational-and-residential/group-homes,(781) 559-4745,,2019-03-18,42.304491,-71.228836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Walden Behavioral Care - Eating Disorders Treatment,0,100,All,"9 Hope Avenue, Suite 500 Waltham, MA 02453",Middlesex,"Today you have reached out for help and you have found an open and inclusive community that understands and respects your unique journey.

Eating disorders affect people of all genders, ages, sexualities, races, ethnicities, religions and socio-economic statuses. They do not discriminate and neither should their treatment.

Our diverse team is here to support you through every step of the healing process. We work hard to ensure that all people in our care have equal access to services and receive the same top-quality, empathetic and affirming care.

We appreciate all that makes you, you. That means that no matter who you are, where you are on your path to wellness or what circumstances have brought you here, you have found a warm place to heal.",Requires insurance.,https://www.waldeneatingdisorders.com/who-we-serve/,(781) 647-6727,Rbernat@waldenbehavioralcare.com,2019-03-18,42.369019,-71.249138,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Codman Square Community Health Center,0,100,All,"637 Washington St., Boston, MA",Berkshire,"Codman Square Health Center is a community-based, outpatient health care and multi-service center in the heart of Dorchester. We opened our doors in 1979 with a dream: to build the best urban community in America. As part of this dream, we recognized that though health care begins by alleviating sickness, the journey to a true “culture of health” is achieved through the health of the whole person and the whole community. Our two-physician staff that summer of 1979 may have been small, but our commitment to the community was deep and our vision optimistic. Today, we are home to a staff of over 300 multi-lingual and multi-cultural expert clinicians, medical staff and employees, most of whom reside in the neighborhoods surrounding Codman Square. We boast more than 109,000 client contacts each year, and have developed an astounding depth and breadth of community programs, as well as strong partnerships with other organizations in order to meet our mission most efficiently.","Becoming a patient at Codman is easy: Call our Patient Service Center 617-822-8271 between 8:00am and 7pm Monday - Thursday or between 8:00am and 5:00pm on Friday to speak to one of our representatives about becoming a patient and scheduling your first appointment. 

We accept all kinds of health insurance. Need insurance? Our Insurance Enrollment representatives are also on hand to help you find the best health insurance for you and your family.Don't forget to look at what you should bring to your first appointment. Selecting a Primary Care Doctor/Provider (PCP) is an important step in becoming a part of the Codman Square Health Center Family. Our Patient Service Center staff can help you figure out which providers have the most availability
",http://www.codman.org/index.html,(617) 825-9660,,2019-03-13,42.289428,-71.072176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Dimock Center,0,100,All,"55 Dimock St., Roxbury, MA",,"The Dimock Center’s Health Care programs deliver comprehensive health maintenance, screening, immunizations, and prevention for adults and children with specialized clinics, including Women’s Health and OB/GYN, HIV/AIDs, eye care, and dental care. Our Child and Family Services programs offer quality care, education, support and training to individuals and families from infancy to adulthood.

Our Behavioral Health program assists those struggling with mental illness, developmental delay, substance abuse or violence issues. For many individuals and families, participation in Dimock’s programs and services literally saves lives.

The Dimock Center, founded on July 1, 1862 as the New England Hospital for Women and Children, was the first hospital in New England opened and operated by women for women, and only the second in the country. Noted prominently for its role in the history of women in medicine, Dimock strives to continue in the innovative spirit of trailblazers like Dr. Marie Zakrzewska, who established the hospital, and Mary Eliza Mahoney, the country’s first black nurse who studied here in 1879.",,https://dimock.org/,(617) 442-8800,,2019-03-13,42.319607,-71.098022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bowdoin Street Health Center,0,100,All,"230 Bowdoin St., Dorchester, MA",Hampden,"Founded in Boston's Dorchester neighborhood in 1972 by community residents, Bowdoin Street Health Center remains focused on providing outstanding medical care while maintaining a tradition of working with residents to identify and meet their unique health needs. The mission of the health center is to provide excellent, compassionate care to our patients and support the health of the entire community.","M-TH, 8am-7pm; Fri, 8am-5pm; most Saturdays, 9am-1pm; we will also see you if you do not have insurance;
We accept most health insurance and managed care plans, including: Blue Cross/Blue Shield; Commonwealth Care; Harvard Pilgrim Health Care (HPHC); Neighborhood Health Plan; Mass Health/Medicaid; Medicare; Tufts; Most commercial insurance",https://www.bidmc.org/locations/bowdoin-street-health-center,(617) 754-0100,Bowdoinstreethealth@bidmc.harvard.edu,2019-03-12,42.305903,-71.06756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
